Facility name,Address,Borough,ZIP Code,Accessible,Facility type,latitude,longitude
South Beach Library,21-15 Robin Rd,Staten Island,10305,Yes,Library,40.5937939,-74.0661133
Mariners Harbor Library,206 South Av,Staten Island,10303,Yes,Library,40.634646,-74.1666009
Harry Belafonte - 115th Street Library,203 W 115th St,Manhattan,10026,Yes,Library,40.8029766,-73.9535305
Webster Library,1465 York Av,Manhattan,10021,Yes,Library,40.7706762,-73.9513689
Ottendorfer Library,135 2 Av,Manhattan,10003,No,Library,40.746244,-73.9748182
Stapleton,132 Canal St,Staten Island,10304,Yes,Library,40.6260069,-74.077803
Mulberry Street Library,10 Jersey St,Manhattan,10012,Yes,Library,40.724164,-73.9955982
Morris Park Library,985 Morris Park Av,Bronx,10462,Yes,Library,40.8480269,-73.8568163
New Amsterdam Branch Library,9 Murray St,Manhattan,10007,Yes,Library,40.7136076,-74.0078652
Columbus Library,742 10 Av,Manhattan,10019,Yes,Library,40.8143473,-73.9364654
